PROPERTY TYPE,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,$/SQUARE FEET,HOA/MONTH
Single Family Residential,Overland Park,66221,850000,5,4.5,Deerbrook,3817,12978,2004,223,75
Single Family Residential,Stilwell,66085,725000,4,4.5,River Ridge Farms,3347,13696,2005,217,58
Townhouse,Overland Park,66213,375000,3,3.5,Sumarlee Estates,2502,5401,1984,150,85
Single Family Residential,Overland Park,66204,415000,4,2,Eleanora Height,2100,29620,1940,198,
Single Family Residential,Overland Park,66085,715000,4,3.5,BluHawk,2907,13535,2014,246,104
Single Family Residential,Overland Park,66212,350000,3,2,Fairview Manor,1488,9583,1959,235,
Single Family Residential,Overland Park,66221,850000,6,6.5,Summerwood,4601,11325,2014,185,125
Single Family Residential,Overland Park,66213,665000,4,4.5,Lancaster Brandon Place,3821,11718,1995,174,54
Single Family Residential,Overland Park,66212,405000,3,3.5,Sylvan Grove,2054,10501,1970,197,
Single Family Residential,Overland Park,66223,525000,4,3.5,Willow Bend at the Village,2571,13020,1996,204,
Townhouse,Overland Park,66214,375000,3,2,Oakshire,1560,2041,1976,240,315
Single Family Residential,Overland Park,66221,600000,5,4,Forest Glen by the Lake,3459,10454,2002,173,67
Single Family Residential,Overland Park,66213,667500,4,4.5,Fairway Woods,4116,13116,1996,162,77
Single Family Residential,Overland Park,66224,899990,4,3.5,WatersEdge,3246,14789,2017,277,131
Single Family Residential,Overland Park,66210,515000,4,2.5,Shannon Valley,3025,10628,1986,170,29
Townhouse,Overland Park,66202,239900,2,2.5,Devereaux,1576,27791280,1971,152,325
Townhouse,Overland Park,66085,400000,3,3.5,Retreat at the Wilderness,2516,1438,2003,159,411
Townhouse,Overland Park,66212,199000,3,1.5,Greenbrier,1451,5390,1965,137,145
Single Family Residential,Overland Park,66213,545000,4,4.5,Fairway Woods,3517,8712,2000,155,79
Single Family Residential,Olathe,66215,325000,2,2,Palisades At College,1157,1742,1998,281,400
Single Family Residential,Overland Park,66212,350000,3,2,Cherokee Hills,1511,10542,1964,232,
Single Family Residential,Overland Park,66212,300000,3,1.5,Regency Park,1550,11415,1962,194,33
Single Family Residential,Overland Park,66062,700000,4,3.5,Deer Valley,3000,9391,2009,233,88
Single Family Residential,Overland Park,66202,450000,3,3,Walmer View,2305,12737,1955,195,28
Single Family Residential,Overland Park,66223,489950,5,4,Green Meadows,2975,9546,1991,165,38
Single Family Residential,Overland Park,66223,669950,5,4.5,Shadow Brook,4902,10293,1998,137,84
Townhouse,Overland Park,66210,250000,2,1.5,Quivira Falls,1080,1373,1977,231,335
Single Family Residential,Overland Park,66209,695000,3,3,Hawthorne Place,2764,6163,1990,251,300
Single Family Residential,Mission,66202,689000,4,3.5,Milhaven Estates,3916,12358,1965,176,4
Single Family Residential,Overland Park,66212,435000,4,3,Wycliff,2028,11332,1971,214,
Townhouse,Overland Park,66223,370000,3,3.5,Rockwood Commons,1890,1742,2017,196,286
Single Family Residential,Overland Park,66223,800000,6,5.5,Lionsgate- By the Green,4874,11789,2003,164,144
Single Family Residential,Overland Park,66207,600000,3,3,Empire Estates,2733,13742,1961,220,
Single Family Residential,Overland Park,66224,639000,4,4.5,Blackthorne Estates,3205,10687,2006,199,75
Single Family Residential,Overland Park,66214,310000,4,2.5,Oak Park,2047,15734,1969,151,28
